Id,Amount,Network,Mode,TransactionDate,transactionId
70,788.89,American Express,In-store,2022-06-13,5698946393
71,143.65,Visa,In-store,2022-05-21,6754624648
72,557.39,American Express,Online,2022-07-02,4113458218
73,240.25,American Express,In-store,2022-09-22,4570157016
74,826.91,American Express,In-store,2022-05-01,5751231342
75,253.77,Mastercard,Online,2022-04-06,3991285470
76,175.9,Mastercard,In-store,2022-06-25,1986243211
77,305.14,Visa,In-store,2022-05-04,7331730589
78,652.05,American Express,In-store,2022-06-21,8839918553
79,339.15,American Express,Online,2023-02-22,9674396929
80,389.41,American Express,In-store,2022-12-25,6667920423
81,994.17,Discover,In-store,2022-10-21,8923768226
82,483.69,Discover,Online,2023-01-27,2714024490
83,825.07,American Express,In-store,2022-04-30,1601336348
84,947.89,Visa,In-store,2022-11-19,8389817654
85,488.79,Visa,In-store,2022-05-11,8131345530
86,942.53,American Express,Online,2022-11-14,1479469471
87,169.79,American Express,Online,2022-04-09,7876466328
88,853.96,Visa,Online,2022-03-22,9597409891
89,102.5,Mastercard,In-store,2022-04-04,9951075412
90,78.48,Discover,Online,2022-07-10,8468381302
91,712.36,Discover,Online,2022-06-21,2650217469
92,198.96,Mastercard,In-store,2022-09-23,7512834338
93,814.84,Visa,In-store,2022-08-02,6524348241
94,378.49,American Express,In-store,2023-03-01,4622753627
95,281.47,Mastercard,Online,2022-09-05,7130686177
96,921.57,Discover,In-store,2023-01-20,3900952956
97,75.2,Mastercard,Online,2022-05-17,8883860255
98,89.45,Mastercard,In-store,2022-12-04,4808442845
99,160.93,Mastercard,Online,2022-10-14,5703195664
100,882.65,Discover,Online,2022-06-15,8686920214
101,254.77,Visa,In-store,2023-02-25,7151390527
102,548.78,Visa,In-store,2022-11-05,5993441547
103,369.72,Visa,In-store,2022-07-11,8733919500
104,319.74,American Express,In-store,2023-02-15,1265601814
105,884.83,Mastercard,In-store,2022-10-03,8515344741
106,529.99,Mastercard,In-store,2022-04-15,9883434400
107,840.58,Discover,Online,2023-01-30,4510844434
108,269.48,Discover,In-store,2023-01-30,2947408019
109,550.71,Visa,Online,2022-09-19,4267526964
110,109.83,Discover,In-store,2022-04-12,3795059840
111,275.87,Mastercard,In-store,2022-10-23,4299236105
112,787.42,Mastercard,Online,2022-09-11,9896740608
113,198.26,Discover,In-store,2023-02-25,2338686428
114,737.91,American Express,Online,2022-10-22,7099410779
115,102.81,Discover,In-store,2022-12-11,5475303741
116,736.67,Mastercard,Online,2022-12-22,9740276243
117,115.57,Visa,Online,2022-12-30,5121719828
118,638.89,Mastercard,Online,2023-01-21,8118028690
119,940.02,Visa,In-store,2022-07-03,8612696580
120,303.3,Discover,In-store,2023-01-02,8906040783
121,488.76,Discover,Online,2022-06-18,3174230772
122,460.72,Discover,In-store,2022-11-27,1414949548
123,152.9,Mastercard,In-store,2023-02-06,3197884391
124,888.98,American Express,In-store,2022-05-23,1546275738
125,207.81,Mastercard,Online,2023-01-17,3957953677
126,663.07,Visa,Online,2022-12-30,4502577601
127,248.71,American Express,In-store,2022-07-15,9161367768
128,120.5,Mastercard,Online,2022-12-14,7019702065
129,510.79,American Express,In-store,2023-02-27,3355092477
130,894.18,Visa,Online,2022-05-09,3362480325
131,37.18,American Express,Online,2022-04-13,5781185458
132,410.71,Visa,In-store,2023-02-27,5422400348
133,114.87,Visa,Online,2022-05-20,2352086725
134,33.99,Mastercard,In-store,2022-05-21,1691988297
135,644.26,Discover,In-store,2022-07-13,4070276342
136,626.72,Visa,Online,2022-12-11,1945305122
137,518.03,Visa,Online,2022-06-19,2945403469
138,50.83,Mastercard,Online,2022-11-19,6332965810
139,629.62,American Express,Online,2022-04-05,6745214723
140,179.41,Discover,In-store,2023-02-05,6224916274
141,818.74,Discover,Online,2022-09-08,5394855060
142,179.96,Mastercard,In-store,2022-05-04,9214249060
143,850.32,American Express,Online,2022-07-24,4506586731
144,782.68,Discover,Online,2022-06-06,9365106524
145,756.84,Mastercard,In-store,2022-05-16,2519868703
146,142.11,Mastercard,Online,2022-09-05,1215743456
147,652.93,Mastercard,Online,2023-03-09,3970221012
148,728.64,Mastercard,Online,2022-12-08,7510737655
149,213.18,Visa,Online,2022-10-18,9298432327
150,742.65,Discover,Online,2022-10-07,9763262469
151,173.04,Discover,In-store,2022-07-18,6405287083
152,618.95,Visa,Online,2022-09-30,1017600606
153,765.1,Visa,Online,2022-04-18,3888005482
154,321.05,Visa,Online,2022-09-25,6295946846
155,275.97,Discover,In-store,2022-09-17,9268356982
156,292.3,Discover,In-store,2023-01-14,3802698887
157,669.34,Visa,Online,2022-11-28,6687271239
158,334.95,Mastercard,In-store,2022-11-07,4710893273
159,709.53,Mastercard,Online,2022-05-26,6933600628
160,95.31,Discover,In-store,2022-04-27,3496510225
161,955.9,Discover,Online,2022-05-07,7102992771
162,698.47,Discover,In-store,2022-06-09,9627470522
163,898.9,Mastercard,Online,2023-01-13,6096778300
164,743.94,Visa,In-store,2022-06-10,9920712190
165,203.55,Discover,Online,2022-04-11,9137970758
166,981.44,Discover,Online,2022-08-27,8939249533
167,631.76,American Express,In-store,2022-11-30,6308577905
168,872.75,American Express,In-store,2022-08-22,6345105647
169,465.6,Discover,In-store,2022-10-17,6455966276
170,690.69,American Express,In-store,2022-10-09,2832952806
171,581.13,American Express,Online,2022-09-16,1579049235
172,191.61,Discover,Online,2023-03-12,1998217467
173,504.8,American Express,Online,2022-03-23,5460224363
174,103.27,Mastercard,Online,2022-04-14,4053224305
175,763.69,Visa,In-store,2022-04-08,5884528058
176,826.05,Visa,Online,2022-06-05,1824438593
177,596.38,American Express,In-store,2023-02-04,5546046522
178,405.0,Discover,In-store,2023-02-28,3641047207
179,355.01,Discover,Online,2022-10-09,5976154136
180,112.23,Discover,Online,2022-03-30,2047083406
181,229.76,American Express,Online,2023-01-21,4081405022
182,509.02,Mastercard,Online,2022-08-06,9388130181
183,560.44,Visa,In-store,2022-04-26,2734469116
184,405.91,Discover,In-store,2022-09-21,1115534486
185,642.11,Mastercard,In-store,2022-12-11,2119521905
186,389.45,Mastercard,Online,2022-04-07,3735244061
187,183.78,Mastercard,In-store,2022-05-10,7775294200
188,340.45,American Express,In-store,2022-12-26,8639972920
189,725.13,American Express,Online,2022-12-03,1970894494
190,365.95,American Express,In-store,2022-07-21,6572092633
191,666.2,Visa,Online,2022-06-23,5730688903
192,846.19,American Express,Online,2022-10-27,5461872616
193,604.21,Discover,Online,2022-12-26,2708989425
194,160.92,Visa,In-store,2022-04-09,4104262607
195,342.44,Visa,Online,2022-11-02,4308755244
196,884.1,Visa,In-store,2023-01-16,8655100567
197,824.56,Mastercard,In-store,2022-08-08,8582441888
198,224.17,Mastercard,Online,2023-03-07,4102818063
199,626.81,American Express,In-store,2023-02-27,1979993802
200,333.96,American Express,In-store,2022-08-07,5735136292
201,357.37,Visa,In-store,2022-06-24,2198308012
202,365.8,Discover,Online,2022-11-12,5541140500
203,245.4,Visa,Online,2022-11-23,1093836455
204,179.69,Visa,Online,2022-10-25,4361134368
205,194.09,American Express,Online,2022-10-18,8163463360
206,613.48,Mastercard,In-store,2022-09-01,6264445532
207,131.18,Visa,Online,2022-07-24,5278984204
208,810.01,American Express,Online,2023-03-11,8449346295
209,68.52,American Express,In-store,2022-07-13,1488087594
210,805.91,Visa,Online,2023-01-09,9951391753
211,438.15,Mastercard,In-store,2022-07-21,7958783979
212,400.42,Visa,Online,2022-08-23,2327146045
213,610.08,Discover,Online,2022-05-20,9132307279
214,754.74,Discover,In-store,2022-11-15,6662277863
215,181.89,American Express,Online,2022-08-10,3008578234
216,78.28,Discover,In-store,2022-04-29,3937730657
217,138.42,Discover,Online,2022-10-09,2777821562
218,513.97,Visa,In-store,2022-08-05,4433576189
219,384.49,Visa,In-store,2022-11-07,8135945412
220,726.65,Mastercard,In-store,2023-02-12,7229238206
221,270.41,American Express,In-store,2022-03-17,9212783691
222,106.08,Visa,Online,2022-11-19,8295877984
223,646.16,Mastercard,In-store,2022-04-30,3579106162
224,443.63,Mastercard,In-store,2022-10-12,2257988052
225,908.92,Discover,In-store,2022-04-02,2086806106
226,374.05,Visa,Online,2023-01-07,7744639757
227,250.69,Visa,In-store,2022-04-22,6069354409
228,989.11,Discover,Online,2022-05-10,8290315364
229,398.96,Mastercard,Online,2022-10-28,3349464031
230,221.62,American Express,Online,2022-09-29,4959373142
231,94.95,Visa,In-store,2023-01-06,5082158676
232,504.29,Mastercard,Online,2022-12-19,7950465677
233,290.82,American Express,Online,2022-08-22,5084873194
234,135.31,American Express,Online,2022-09-16,1853801481
235,128.11,Visa,In-store,2023-01-02,2750925352
236,567.3,Visa,In-store,2022-06-29,2936190406
237,299.78,American Express,Online,2022-06-28,2423008383
238,45.11,Discover,Online,2022-06-11,6504006883
239,742.26,American Express,In-store,2023-01-10,2310182877
240,273.13,Mastercard,Online,2022-07-09,1149931971
241,425.02,American Express,In-store,2022-10-27,9426116091
242,588.25,Visa,In-store,2022-11-20,6247957937
243,576.16,Visa,Online,2022-07-18,3212411535
244,431.92,Visa,In-store,2022-06-24,8307791427
245,481.83,Visa,In-store,2022-05-09,5752219077
246,488.85,Mastercard,Online,2022-10-16,9846122239
247,861.47,Discover,In-store,2022-09-08,5457570177
248,233.73,American Express,In-store,2022-09-05,4037898501
249,412.44,Mastercard,Online,2023-02-24,7854490400
250,436.46,Mastercard,Online,2022-06-01,2702344846
251,899.16,Mastercard,In-store,2023-01-17,5220757332
252,91.82,Visa,Online,2022-11-17,6811275222
253,565.62,American Express,In-store,2022-08-07,1969986685
254,967.21,American Express,Online,2022-07-12,8360864096
255,813.56,Visa,Online,2022-09-05,3067569647
256,228.69,Visa,In-store,2022-08-23,7611886675
257,529.55,American Express,Online,2022-06-09,1648255622
258,537.91,Discover,In-store,2022-07-02,3455931768
259,536.15,Mastercard,Online,2022-08-31,4421325760
260,941.16,Mastercard,Online,2023-01-18,1612400985
261,986.57,Mastercard,In-store,2022-09-03,4501873559
262,218.09,American Express,In-store,2023-01-20,1033224075
263,887.56,Discover,In-store,2022-11-13,4303706304
264,442.74,American Express,In-store,2023-01-19,6617946676
265,679.35,American Express,In-store,2022-11-15,3748605721
266,823.35,Visa,Online,2022-08-01,7965643738
267,780.17,Discover,Online,2022-05-07,5411577484
268,243.17,Visa,Online,2022-05-15,1632659915
269,121.83,Discover,Online,2022-10-25,9707770039
270,94.85,American Express,Online,2023-01-01,7641888231
271,758.37,American Express,In-store,2023-03-08,4809710991
272,399.07,Mastercard,Online,2023-01-16,2478407066
273,848.39,Discover,Online,2023-02-19,3243917653
274,240.66,Visa,Online,2022-12-03,4558422045
275,355.09,Mastercard,Online,2022-08-24,3462213585
276,943.03,Discover,Online,2022-07-21,8651627312
277,913.75,Discover,In-store,2022-09-28,2200952326
278,888.13,Visa,Online,2022-06-07,5125829737
279,250.87,Discover,In-store,2022-11-19,7018159073
280,592.8,American Express,Online,2023-02-27,1041515251
281,508.47,Mastercard,In-store,2022-10-02,8561392462
282,158.92,Discover,Online,2022-08-02,3533257246
283,246.38,Discover,Online,2023-01-15,8854722758
284,987.7,Mastercard,Online,2022-09-18,4173171747
285,765.49,American Express,In-store,2022-05-13,4610807675
286,516.88,American Express,In-store,2022-04-30,2816302512
287,28.62,American Express,In-store,2023-01-18,8138657966
288,276.72,Visa,In-store,2022-09-17,5910340270
289,869.05,American Express,In-store,2022-04-13,4135302520
290,421.22,Mastercard,In-store,2022-12-10,8728165850
291,704.93,Discover,Online,2022-11-28,7524084271
292,812.3,Visa,In-store,2022-10-12,4957416263
293,20.93,Mastercard,Online,2022-06-12,3484196951
294,775.81,Discover,In-store,2022-10-27,4840805267
295,810.55,American Express,In-store,2022-03-18,7510164776
296,607.58,American Express,Online,2022-12-13,7911944193
297,286.81,Mastercard,In-store,2023-02-10,6118911981
298,475.86,Discover,Online,2022-05-12,6872776589
299,867.24,Visa,In-store,2023-02-27,8783184544
300,127.96,Discover,Online,2023-03-10,9975761996
301,956.62,American Express,In-store,2022-12-06,4316585814
302,41.84,American Express,In-store,2022-10-19,3720212737
303,642.36,Visa,Online,2022-04-17,2677110012
304,378.58,Visa,In-store,2023-01-11,5776521163
305,595.31,Mastercard,In-store,2022-05-11,6128007539
306,153.69,Discover,Online,2023-01-29,5088239538
307,316.41,Discover,In-store,2022-10-06,5256119133
308,202.65,Mastercard,In-store,2022-12-30,6383762414
309,294.0,Mastercard,Online,2022-05-04,7787785594
310,629.73,Visa,Online,2022-04-13,5418939205
311,989.23,Mastercard,In-store,2022-05-02,2691282669
312,838.42,Mastercard,Online,2023-02-16,5111365079
313,103.93,Discover,In-store,2022-03-25,6669927848
314,126.99,Discover,In-store,2022-07-11,8575283631
315,792.53,American Express,In-store,2023-01-23,1850133714
316,205.79,Discover,Online,2022-12-10,8244560018
317,807.25,Mastercard,Online,2022-06-01,8127165881
318,398.61,Mastercard,In-store,2023-01-22,1063891698
319,102.02,American Express,In-store,2022-04-13,7685556176
320,994.86,Visa,In-store,2022-08-09,7905876643
321,743.17,Mastercard,Online,2022-08-15,9786192139
322,397.9,Visa,Online,2022-05-28,8334418304
323,451.48,Discover,Online,2022-08-13,7329115946
324,969.54,Mastercard,Online,2022-10-25,8927079123
325,734.08,American Express,Online,2022-12-18,6269695143
326,749.76,Discover,Online,2022-07-12,4319888031
327,508.0,American Express,Online,2022-10-08,2575862000
328,594.93,Discover,Online,2022-04-12,5490224976
329,365.57,Mastercard,In-store,2022-09-30,8547829380
330,45.48,American Express,In-store,2023-01-27,6260757260
331,341.78,Mastercard,In-store,2022-08-18,3078458720
332,497.97,Mastercard,In-store,2022-10-08,6671619003
333,728.3,Mastercard,In-store,2022-06-14,5641051462
334,528.33,American Express,In-store,2022-03-15,4044030466
335,234.18,Visa,Online,2022-04-07,8606946522
336,236.71,Visa,Online,2022-12-16,7884596848
337,17.86,Discover,In-store,2023-02-07,6100694427
338,750.92,American Express,Online,2022-07-21,6435722320
339,283.81,Discover,Online,2023-01-01,3819072375
340,518.72,Mastercard,In-store,2023-03-07,4381319157
341,922.91,Visa,In-store,2022-05-06,9993368537
342,517.81,American Express,In-store,2022-09-07,4134077261
343,699.07,Visa,In-store,2022-07-18,1325823687
344,923.69,American Express,In-store,2022-11-24,2831604522
345,140.4,American Express,Online,2022-04-25,4719819443
346,322.22,American Express,In-store,2023-02-05,1345396396
347,470.93,Visa,Online,2023-01-19,8196886763
348,437.19,American Express,In-store,2022-03-19,4859205658
349,506.54,American Express,In-store,2022-11-25,8672174216
350,417.94,Visa,In-store,2022-06-30,7454343803
351,98.87,American Express,In-store,2022-09-19,2338449376
352,313.07,Mastercard,In-store,2023-01-16,1382434268
353,136.56,American Express,In-store,2022-04-10,4411861239
354,90.7,American Express,In-store,2022-06-02,3527627917
355,625.96,Visa,Online,2022-06-06,8852451067
356,444.18,Mastercard,Online,2023-01-03,5058041351
357,913.09,Discover,Online,2022-11-11,8102734664
358,180.76,American Express,In-store,2023-01-01,7521903241
359,160.95,Discover,Online,2022-05-29,5031281088
360,124.76,Discover,In-store,2022-06-10,8930946004
361,489.39,Discover,Online,2022-11-17,5724771689
362,618.57,American Express,In-store,2022-12-03,8129764138
363,751.91,Visa,Online,2022-05-26,4074076565
364,10.84,Mastercard,In-store,2022-10-04,7764369878
365,373.97,Mastercard,In-store,2022-10-02,5788175138
366,708.81,Mastercard,Online,2022-08-11,1098945037
367,247.3,Mastercard,Online,2022-07-28,7988454838
368,748.21,American Express,Online,2023-02-27,9954823917
369,747.79,American Express,In-store,2022-04-03,3432346922
370,172.23,Mastercard,In-store,2023-01-13,7874793348
371,236.36,Visa,In-store,2022-08-27,7589253128
372,350.07,American Express,In-store,2022-06-11,9621332642
373,337.99,Mastercard,Online,2022-05-25,5005487046
374,39.12,American Express,In-store,2022-05-25,3729210616
375,486.84,American Express,Online,2022-07-07,2018401657
376,503.33,Discover,In-store,2023-01-26,5262513319
377,967.98,American Express,In-store,2022-12-24,7990139483
378,987.82,Mastercard,In-store,2022-04-22,1890290820
379,854.74,American Express,In-store,2022-08-20,8037214582
380,649.72,Visa,Online,2022-11-10,3489495796
381,62.01,Discover,In-store,2022-04-08,8954222352
382,705.62,Visa,In-store,2022-10-31,6300546193
383,450.08,Mastercard,In-store,2022-05-31,2493195701
384,399.94,Visa,In-store,2022-07-01,7610191504
385,814.97,American Express,Online,2022-05-18,4103045231
386,548.3,Visa,In-store,2022-12-23,1318120883
387,255.55,Visa,Online,2022-12-13,5445101880
388,980.32,Discover,Online,2022-08-20,4796108985
389,155.01,Visa,Online,2022-05-26,7354900179
390,192.95,Visa,In-store,2022-04-26,5747874886
391,463.22,Mastercard,In-store,2023-01-04,4031154344
392,144.27,Visa,Online,2022-09-24,2649634993
393,267.32,Discover,In-store,2022-06-06,1657461516
394,972.94,Mastercard,In-store,2022-03-24,5585666738
395,813.42,Discover,Online,2022-07-19,4220051652
396,761.33,Mastercard,In-store,2022-08-20,6450165989
397,514.91,Discover,Online,2022-04-19,7736717762
398,914.67,Mastercard,Online,2022-12-05,9457103304
399,66.03,American Express,Online,2023-03-11,6872687769
400,792.23,Visa,In-store,2022-03-27,2156147992
401,635.79,Discover,In-store,2022-10-17,6181470385
402,435.1,Visa,In-store,2023-01-01,6913328134
403,658.23,Discover,Online,2022-10-18,7960119591
404,392.64,American Express,In-store,2022-06-11,7579939692
405,413.08,Mastercard,In-store,2023-02-03,9040169348
406,266.96,American Express,Online,2023-03-01,5042454588
407,310.94,Visa,Online,2022-10-17,1127719953
408,289.68,Visa,Online,2022-05-31,7668799960
409,791.7,American Express,In-store,2022-09-07,1880332666
410,594.89,Visa,Online,2022-05-08,1197931278
411,912.06,Visa,In-store,2022-11-26,1145008016
412,538.81,Mastercard,In-store,2022-10-19,8857887165
413,579.3,Mastercard,Online,2023-03-02,5711310017
414,848.88,Mastercard,In-store,2022-08-06,8938269475
415,281.95,American Express,In-store,2022-04-29,6323723656
416,372.78,Discover,In-store,2023-03-11,9699785469
417,443.34,Visa,Online,2023-02-24,7277151342
418,110.75,American Express,Online,2022-08-15,8661223849
419,225.8,Visa,Online,2023-02-23,8065919882
420,516.32,American Express,In-store,2023-01-03,8920195257
421,320.06,Visa,Online,2023-02-22,8239556642
422,125.04,Discover,In-store,2022-09-27,9240095807
423,698.47,Discover,Online,2022-04-12,6380779938
424,180.52,American Express,In-store,2022-12-07,6257627443
425,448.93,Visa,Online,2022-04-01,2933111953
426,359.31,Discover,Online,2022-11-19,6053887172
427,696.02,Visa,In-store,2023-03-10,2976106704
428,169.21,Visa,Online,2022-11-20,1867385026
429,318.2,American Express,In-store,2023-01-20,6259602040
430,177.56,Discover,Online,2022-08-15,8762964672
431,65.11,Discover,In-store,2022-05-13,4600693632
432,76.3,Discover,In-store,2022-11-16,2818502920
433,240.57,Discover,In-store,2023-01-26,8929713639
434,811.27,Mastercard,Online,2022-07-26,1188128002
435,229.53,American Express,In-store,2022-07-10,3647879253
436,857.61,Visa,Online,2022-11-17,1135585349
437,918.85,Visa,In-store,2023-01-11,1279580316
438,139.56,Mastercard,In-store,2022-05-22,9102593063
439,534.38,Visa,In-store,2022-08-27,6970709186
440,488.47,Mastercard,In-store,2022-06-19,3336241133
441,988.75,Visa,Online,2022-09-10,8099765856
442,881.31,Visa,In-store,2022-12-22,2659551983
443,545.73,Mastercard,Online,2022-06-01,9518096981
444,644.55,Discover,Online,2022-08-17,8285922439
445,679.04,Discover,In-store,2022-04-03,4813498492
446,94.52,Discover,In-store,2022-04-05,2474623083
447,115.49,Discover,In-store,2022-08-28,3405298174
448,217.05,Discover,In-store,2022-07-14,3147776573
449,131.91,Mastercard,Online,2022-03-17,4158668406
450,383.72,Discover,In-store,2022-07-26,7405186303
451,209.42,Discover,Online,2022-06-18,2729840192
452,692.63,Discover,In-store,2023-01-27,7675516990
453,50.4,Discover,In-store,2022-07-13,2586314693
454,989.1,Mastercard,Online,2022-11-26,4562773354
455,739.45,American Express,In-store,2023-03-08,4674051237
456,697.32,Visa,In-store,2022-11-09,8847611383
457,821.19,Mastercard,In-store,2022-12-22,4665144194
458,183.89,Discover,In-store,2023-01-21,1020856552
459,999.05,American Express,In-store,2022-06-11,5122766174
460,670.56,American Express,Online,2022-04-02,7376758601
461,584.19,Discover,In-store,2023-03-06,8284245492
462,469.16,Mastercard,Online,2023-01-05,7043766106
463,139.33,Mastercard,Online,2022-07-27,3652999974
464,968.63,American Express,Online,2022-09-12,3868486628
465,901.69,Mastercard,In-store,2022-11-01,3338271551
466,417.49,Discover,In-store,2022-09-14,3788593143
467,586.49,Visa,In-store,2022-09-04,6503240101
468,460.9,American Express,Online,2022-05-19,7644935027
469,247.72,Discover,In-store,2022-09-10,2022902800
470,997.8,Visa,Online,2022-11-07,3126712741
471,374.6,Mastercard,Online,2022-09-24,5826356937
472,33.0,Mastercard,In-store,2022-05-02,9550628670
473,706.03,Visa,In-store,2023-01-19,6365863276
474,816.62,Discover,In-store,2022-05-11,5484593579
475,537.94,American Express,In-store,2023-01-10,5815299046
476,884.44,American Express,Online,2022-04-09,9110637888
477,673.38,Discover,Online,2022-12-15,3120571551
478,402.13,American Express,Online,2023-01-10,3710240693
479,271.04,Visa,Online,2022-04-25,7499100864
480,882.96,Visa,Online,2022-07-12,3897758535
481,816.26,Mastercard,In-store,2022-07-16,8986297191
482,608.43,Discover,Online,2022-06-09,6545350921
483,586.7,Visa,In-store,2022-11-08,2393714235
484,976.64,Visa,Online,2022-07-13,3240145973
485,293.85,Visa,Online,2022-12-13,4583756734
486,686.69,Discover,In-store,2022-05-31,3586511874
487,958.52,American Express,Online,2022-07-08,9017933551
488,401.68,American Express,Online,2022-10-07,5372733083
489,486.44,American Express,In-store,2022-05-01,5536950200
490,377.02,Visa,In-store,2022-10-31,5478482489
491,49.73,Visa,In-store,2023-01-04,8607256104
492,941.9,Mastercard,In-store,2022-10-17,2735422543
493,197.33,Discover,Online,2022-12-13,9786713861
494,757.71,American Express,Online,2022-11-03,6231766234
495,14.47,Visa,Online,2022-12-05,7800239874
496,581.08,Visa,Online,2022-10-26,5507620993
497,845.58,Visa,In-store,2022-11-24,3126201094
498,713.42,Mastercard,In-store,2022-03-13,5761125689
499,705.4,Visa,In-store,2022-04-11,5008737703
500,308.54,American Express,In-store,2022-07-05,3688272460
501,989.54,Discover,Online,2022-06-14,5799136564
502,26.84,Mastercard,Online,2022-09-22,7897911978
503,805.05,Mastercard,Online,2022-11-18,9473808903
504,229.67,Discover,In-store,2022-06-30,6331477642
505,996.82,American Express,In-store,2023-01-15,7985795690
506,531.75,Mastercard,In-store,2022-10-15,9483007627
507,600.67,Mastercard,In-store,2023-02-03,5475180657
508,781.51,American Express,In-store,2022-07-31,8398276618
509,978.91,Mastercard,In-store,2022-09-01,5493322291
510,602.94,Discover,Online,2022-12-19,4785399285
511,330.39,Mastercard,Online,2022-12-25,1265040668
512,207.32,Discover,In-store,2022-03-25,7187021547
513,227.97,Mastercard,In-store,2023-01-27,1911273466
514,170.58,Visa,In-store,2022-07-06,4800582727
515,401.1,American Express,In-store,2022-10-05,1881958175
516,446.09,Mastercard,In-store,2022-11-09,1300018627
517,213.12,Visa,In-store,2022-10-30,6336929073
518,739.49,Discover,Online,2022-10-01,1163045941
519,305.5,American Express,Online,2022-06-16,2108116423
520,530.26,Discover,Online,2023-02-20,6926791180
521,848.24,Discover,In-store,2022-08-08,8029355794
522,344.97,Discover,In-store,2022-12-16,6084202852
523,713.28,Mastercard,Online,2022-04-27,3330780703
524,409.88,American Express,Online,2023-03-07,4974593686
525,562.25,Visa,Online,2022-03-18,4284949281
526,280.84,American Express,Online,2022-12-24,3574346852
527,80.25,Visa,In-store,2022-08-28,7976953357
528,380.66,American Express,Online,2022-07-25,4145453850
529,53.75,American Express,Online,2022-04-08,5586762505
530,113.62,American Express,Online,2022-12-10,5467903515
531,190.33,American Express,Online,2022-08-10,3746993017
532,204.89,Discover,Online,2022-12-16,7399879844
533,897.02,Mastercard,In-store,2022-07-26,9647172472
534,807.2,Visa,Online,2023-01-05,6304196128
535,791.41,American Express,In-store,2022-08-04,9921808554
