Id,Amount,Network,Mode,TransactionDate,transactionId,settlementId
148,728.64,Mastercard,Online,2022-12-08,7510737655,6421295927
149,213.18,Visa,Online,2022-10-18,9298432327,4197107977
150,742.65,Discover,Online,2022-10-07,9763262469,3185764688
151,173.04,Discover,In-store,2022-07-18,6405287083,2647642888
152,618.95,Visa,Online,2022-09-30,1017600606,4162094613
153,765.1,Visa,Online,2022-04-18,3888005482,2949840839
154,321.05,Visa,Online,2022-09-25,6295946846,5651117272
155,275.97,Discover,In-store,2022-09-17,9268356982,9716544753
156,292.3,Discover,In-store,2023-01-14,3802698887,5048776822
157,669.34,Visa,Online,2022-11-28,6687271239,5450238977
158,334.95,Mastercard,In-store,2022-11-07,4710893273,7194920686
159,709.53,Mastercard,Online,2022-05-26,6933600628,1248238111
160,95.31,Discover,In-store,2022-04-27,3496510225,4206400704
161,955.9,Discover,Online,2022-05-07,7102992771,6269057755
162,698.47,Discover,In-store,2022-06-09,9627470522,2135592736
163,898.9,Mastercard,Online,2023-01-13,6096778300,8759739958
164,743.94,Visa,In-store,2022-06-10,9920712190,6092620978
165,203.55,Discover,Online,2022-04-11,9137970758,6765196168
166,981.44,Discover,Online,2022-08-27,8939249533,2852921304
167,631.76,American Express,In-store,2022-11-30,6308577905,4086186987
168,872.75,American Express,In-store,2022-08-22,6345105647,5650257293
169,465.6,Discover,In-store,2022-10-17,6455966276,5646711354
170,690.69,American Express,In-store,2022-10-09,2832952806,5267258453
171,581.13,American Express,Online,2022-09-16,1579049235,4035250029
172,191.61,Discover,Online,2023-03-12,1998217467,6884822019
173,504.8,American Express,Online,2022-03-23,5460224363,8839803960
174,103.27,Mastercard,Online,2022-04-14,4053224305,3970793434
175,763.69,Visa,In-store,2022-04-08,5884528058,8273375843
176,826.05,Visa,Online,2022-06-05,1824438593,6825734036
177,596.38,American Express,In-store,2023-02-04,5546046522,3053273894
178,405.0,Discover,In-store,2023-02-28,3641047207,3328236663
179,355.01,Discover,Online,2022-10-09,5976154136,3596473747
180,112.23,Discover,Online,2022-03-30,2047083406,3332661941
181,229.76,American Express,Online,2023-01-21,4081405022,9071052633
182,509.02,Mastercard,Online,2022-08-06,9388130181,2773442303
183,560.44,Visa,In-store,2022-04-26,2734469116,3054312632
184,405.91,Discover,In-store,2022-09-21,1115534486,2191814452
185,642.11,Mastercard,In-store,2022-12-11,2119521905,1535188180
186,389.45,Mastercard,Online,2022-04-07,3735244061,9395591611
187,183.78,Mastercard,In-store,2022-05-10,7775294200,6330585887
188,340.45,American Express,In-store,2022-12-26,8639972920,6826630937
189,725.13,American Express,Online,2022-12-03,1970894494,6740256793
190,365.95,American Express,In-store,2022-07-21,6572092633,2552148452
191,666.2,Visa,Online,2022-06-23,5730688903,4610014734
192,846.19,American Express,Online,2022-10-27,5461872616,8447187780
193,604.21,Discover,Online,2022-12-26,2708989425,8967309831
194,160.92,Visa,In-store,2022-04-09,4104262607,6461788700
195,342.44,Visa,Online,2022-11-02,4308755244,9486679182
196,884.1,Visa,In-store,2023-01-16,8655100567,4247847607
197,824.56,Mastercard,In-store,2022-08-08,8582441888,5185467661
198,224.17,Mastercard,Online,2023-03-07,4102818063,3259716811
199,626.81,American Express,In-store,2023-02-27,1979993802,5005708737
200,333.96,American Express,In-store,2022-08-07,5735136292,6823572270
201,357.37,Visa,In-store,2022-06-24,2198308012,7404773443
202,365.8,Discover,Online,2022-11-12,5541140500,1369391531
203,245.4,Visa,Online,2022-11-23,1093836455,7860847031
204,179.69,Visa,Online,2022-10-25,4361134368,2363741015
205,194.09,American Express,Online,2022-10-18,8163463360,4610072277
206,613.48,Mastercard,In-store,2022-09-01,6264445532,9977787238
207,131.18,Visa,Online,2022-07-24,5278984204,7410282733
208,810.01,American Express,Online,2023-03-11,8449346295,6916148448
209,68.52,American Express,In-store,2022-07-13,1488087594,9030320897
210,805.91,Visa,Online,2023-01-09,9951391753,1294876672
211,438.15,Mastercard,In-store,2022-07-21,7958783979,9676546399
212,400.42,Visa,Online,2022-08-23,2327146045,5370976148
213,610.08,Discover,Online,2022-05-20,9132307279,3273786644
214,754.74,Discover,In-store,2022-11-15,6662277863,3263742595
215,181.89,American Express,Online,2022-08-10,3008578234,5353245649
216,78.28,Discover,In-store,2022-04-29,3937730657,1262286674
217,138.42,Discover,Online,2022-10-09,2777821562,6520113433
218,513.97,Visa,In-store,2022-08-05,4433576189,5900119583
219,384.49,Visa,In-store,2022-11-07,8135945412,9122146166
220,726.65,Mastercard,In-store,2023-02-12,7229238206,3408044735
221,270.41,American Express,In-store,2022-03-17,9212783691,9714754813
222,106.08,Visa,Online,2022-11-19,8295877984,9698187510
223,646.16,Mastercard,In-store,2022-04-30,3579106162,2276977454
224,443.63,Mastercard,In-store,2022-10-12,2257988052,4380546433
225,908.92,Discover,In-store,2022-04-02,2086806106,9102254613
226,374.05,Visa,Online,2023-01-07,7744639757,2229676669
227,250.69,Visa,In-store,2022-04-22,6069354409,7197848921
228,989.11,Discover,Online,2022-05-10,8290315364,2053476269
229,398.96,Mastercard,Online,2022-10-28,3349464031,7906245787
230,221.62,American Express,Online,2022-09-29,4959373142,3531553855
231,94.95,Visa,In-store,2023-01-06,5082158676,9836896873
232,504.29,Mastercard,Online,2022-12-19,7950465677,1548491253
233,290.82,American Express,Online,2022-08-22,5084873194,7127019247
234,135.31,American Express,Online,2022-09-16,1853801481,7644204580
235,128.11,Visa,In-store,2023-01-02,2750925352,5094729574
236,567.3,Visa,In-store,2022-06-29,2936190406,4090110807
237,299.78,American Express,Online,2022-06-28,2423008383,4875853079
238,45.11,Discover,Online,2022-06-11,6504006883,1474433766
239,742.26,American Express,In-store,2023-01-10,2310182877,2767483433
240,273.13,Mastercard,Online,2022-07-09,1149931971,8257644927
241,425.02,American Express,In-store,2022-10-27,9426116091,2540228426
242,588.25,Visa,In-store,2022-11-20,6247957937,5552706202
243,576.16,Visa,Online,2022-07-18,3212411535,2753397575
244,431.92,Visa,In-store,2022-06-24,8307791427,4341323231
245,481.83,Visa,In-store,2022-05-09,5752219077,6170953811
246,488.85,Mastercard,Online,2022-10-16,9846122239,8402439399
247,861.47,Discover,In-store,2022-09-08,5457570177,8501155202
248,233.73,American Express,In-store,2022-09-05,4037898501,4445984942
249,412.44,Mastercard,Online,2023-02-24,7854490400,5149032258
250,436.46,Mastercard,Online,2022-06-01,2702344846,6788892748
251,899.16,Mastercard,In-store,2023-01-17,5220757332,4874026255
252,91.82,Visa,Online,2022-11-17,6811275222,1455280999
253,565.62,American Express,In-store,2022-08-07,1969986685,1883568545
254,967.21,American Express,Online,2022-07-12,8360864096,2718929443
255,813.56,Visa,Online,2022-09-05,3067569647,7058401410
256,228.69,Visa,In-store,2022-08-23,7611886675,7138863706
257,529.55,American Express,Online,2022-06-09,1648255622,7437504502
258,537.91,Discover,In-store,2022-07-02,3455931768,5483153073
259,536.15,Mastercard,Online,2022-08-31,4421325760,7348361169
260,941.16,Mastercard,Online,2023-01-18,1612400985,5543489620
261,986.57,Mastercard,In-store,2022-09-03,4501873559,4324650814
262,218.09,American Express,In-store,2023-01-20,1033224075,6048189335
263,887.56,Discover,In-store,2022-11-13,4303706304,1372004450
264,442.74,American Express,In-store,2023-01-19,6617946676,2168905944
265,679.35,American Express,In-store,2022-11-15,3748605721,7387512457
266,823.35,Visa,Online,2022-08-01,7965643738,9956107003
267,780.17,Discover,Online,2022-05-07,5411577484,1561986469
268,243.17,Visa,Online,2022-05-15,1632659915,4728225289
269,121.83,Discover,Online,2022-10-25,9707770039,7196267006
270,94.85,American Express,Online,2023-01-01,7641888231,9506952397
271,758.37,American Express,In-store,2023-03-08,4809710991,7491845825
272,399.07,Mastercard,Online,2023-01-16,2478407066,7398435960
273,848.39,Discover,Online,2023-02-19,3243917653,1456296266
274,240.66,Visa,Online,2022-12-03,4558422045,1869014696
275,355.09,Mastercard,Online,2022-08-24,3462213585,3954304350
276,943.03,Discover,Online,2022-07-21,8651627312,9478342614
277,913.75,Discover,In-store,2022-09-28,2200952326,4470686034
278,888.13,Visa,Online,2022-06-07,5125829737,2436810918
279,250.87,Discover,In-store,2022-11-19,7018159073,7452177087
280,592.8,American Express,Online,2023-02-27,1041515251,6824817038
281,508.47,Mastercard,In-store,2022-10-02,8561392462,3734086216
282,158.92,Discover,Online,2022-08-02,3533257246,7474919482
283,246.38,Discover,Online,2023-01-15,8854722758,3430769316
284,987.7,Mastercard,Online,2022-09-18,4173171747,3880475954
285,765.49,American Express,In-store,2022-05-13,4610807675,7795004328
286,516.88,American Express,In-store,2022-04-30,2816302512,9955781648
287,28.62,American Express,In-store,2023-01-18,8138657966,6866912223
288,276.72,Visa,In-store,2022-09-17,5910340270,6209387439
289,869.05,American Express,In-store,2022-04-13,4135302520,6734828626
290,421.22,Mastercard,In-store,2022-12-10,8728165850,2119761426
291,704.93,Discover,Online,2022-11-28,7524084271,5399230004
292,812.3,Visa,In-store,2022-10-12,4957416263,3333891624
293,20.93,Mastercard,Online,2022-06-12,3484196951,6616582350
294,775.81,Discover,In-store,2022-10-27,4840805267,2481449400
295,810.55,American Express,In-store,2022-03-18,7510164776,9024967601
296,607.58,American Express,Online,2022-12-13,7911944193,9499243766
297,286.81,Mastercard,In-store,2023-02-10,6118911981,3780978259
298,475.86,Discover,Online,2022-05-12,6872776589,3227268058
299,867.24,Visa,In-store,2023-02-27,8783184544,1522126856
300,127.96,Discover,Online,2023-03-10,9975761996,2220757541
301,956.62,American Express,In-store,2022-12-06,4316585814,5384046568
302,41.84,American Express,In-store,2022-10-19,3720212737,1856162157
303,642.36,Visa,Online,2022-04-17,2677110012,9811545625
304,378.58,Visa,In-store,2023-01-11,5776521163,3371295437
305,595.31,Mastercard,In-store,2022-05-11,6128007539,6047158774
306,153.69,Discover,Online,2023-01-29,5088239538,5387397212
307,316.41,Discover,In-store,2022-10-06,5256119133,8445579369
308,202.65,Mastercard,In-store,2022-12-30,6383762414,6968303708
309,294.0,Mastercard,Online,2022-05-04,7787785594,5101501267
310,629.73,Visa,Online,2022-04-13,5418939205,2491514066
311,989.23,Mastercard,In-store,2022-05-02,2691282669,2186283740
312,838.42,Mastercard,Online,2023-02-16,5111365079,6383115649
313,103.93,Discover,In-store,2022-03-25,6669927848,9708800227
314,126.99,Discover,In-store,2022-07-11,8575283631,8608794019
315,792.53,American Express,In-store,2023-01-23,1850133714,2543544374
316,205.79,Discover,Online,2022-12-10,8244560018,5374710294
317,807.25,Mastercard,Online,2022-06-01,8127165881,8008665133
318,398.61,Mastercard,In-store,2023-01-22,1063891698,3224923920
319,102.02,American Express,In-store,2022-04-13,7685556176,9770081969
320,994.86,Visa,In-store,2022-08-09,7905876643,4871315401
321,743.17,Mastercard,Online,2022-08-15,9786192139,1707700902
322,397.9,Visa,Online,2022-05-28,8334418304,9538650058
323,451.48,Discover,Online,2022-08-13,7329115946,3137555853
324,969.54,Mastercard,Online,2022-10-25,8927079123,6497213938
325,734.08,American Express,Online,2022-12-18,6269695143,9862553504
326,749.76,Discover,Online,2022-07-12,4319888031,9961497158
327,508.0,American Express,Online,2022-10-08,2575862000,8753337143
328,594.93,Discover,Online,2022-04-12,5490224976,9163717007
329,365.57,Mastercard,In-store,2022-09-30,8547829380,2727703239
330,45.48,American Express,In-store,2023-01-27,6260757260,7915129744
331,341.78,Mastercard,In-store,2022-08-18,3078458720,1832096398
332,497.97,Mastercard,In-store,2022-10-08,6671619003,7587559282
333,728.3,Mastercard,In-store,2022-06-14,5641051462,3300426737
334,528.33,American Express,In-store,2022-03-15,4044030466,7541159981
335,234.18,Visa,Online,2022-04-07,8606946522,3664939597
336,236.71,Visa,Online,2022-12-16,7884596848,8353104818
337,17.86,Discover,In-store,2023-02-07,6100694427,3431861993
338,750.92,American Express,Online,2022-07-21,6435722320,8568115027
339,283.81,Discover,Online,2023-01-01,3819072375,6631461636
340,518.72,Mastercard,In-store,2023-03-07,4381319157,9726905017
341,922.91,Visa,In-store,2022-05-06,9993368537,3026239401
342,517.81,American Express,In-store,2022-09-07,4134077261,3168049226
343,699.07,Visa,In-store,2022-07-18,1325823687,8517488886
344,923.69,American Express,In-store,2022-11-24,2831604522,8095153769
345,140.4,American Express,Online,2022-04-25,4719819443,8291490892
346,322.22,American Express,In-store,2023-02-05,1345396396,8617706003
347,470.93,Visa,Online,2023-01-19,8196886763,9193572273
348,437.19,American Express,In-store,2022-03-19,4859205658,7683835586
349,506.54,American Express,In-store,2022-11-25,8672174216,8507204899
350,417.94,Visa,In-store,2022-06-30,7454343803,7752062345
351,98.87,American Express,In-store,2022-09-19,2338449376,5447759903
352,313.07,Mastercard,In-store,2023-01-16,1382434268,7257454869
353,136.56,American Express,In-store,2022-04-10,4411861239,3415892380
354,90.7,American Express,In-store,2022-06-02,3527627917,8791384701
355,625.96,Visa,Online,2022-06-06,8852451067,8507289072
356,444.18,Mastercard,Online,2023-01-03,5058041351,6813617896
357,913.09,Discover,Online,2022-11-11,8102734664,5171206333
358,180.76,American Express,In-store,2023-01-01,7521903241,3511867200
359,160.95,Discover,Online,2022-05-29,5031281088,5710238520
360,124.76,Discover,In-store,2022-06-10,8930946004,3259594326
361,489.39,Discover,Online,2022-11-17,5724771689,1520035186
362,618.57,American Express,In-store,2022-12-03,8129764138,9426782122
363,751.91,Visa,Online,2022-05-26,4074076565,8781693706
364,10.84,Mastercard,In-store,2022-10-04,7764369878,1368516088
365,373.97,Mastercard,In-store,2022-10-02,5788175138,8863427922
366,708.81,Mastercard,Online,2022-08-11,1098945037,7333832834
367,247.3,Mastercard,Online,2022-07-28,7988454838,1390779062
368,748.21,American Express,Online,2023-02-27,9954823917,5803100266
369,747.79,American Express,In-store,2022-04-03,3432346922,3136674737
370,172.23,Mastercard,In-store,2023-01-13,7874793348,3918855127
371,236.36,Visa,In-store,2022-08-27,7589253128,8750764461
372,350.07,American Express,In-store,2022-06-11,9621332642,3709407215
373,337.99,Mastercard,Online,2022-05-25,5005487046,4119780714
374,39.12,American Express,In-store,2022-05-25,3729210616,6252508221
375,486.84,American Express,Online,2022-07-07,2018401657,8004995111
376,503.33,Discover,In-store,2023-01-26,5262513319,1682156420
377,967.98,American Express,In-store,2022-12-24,7990139483,6535515636
378,987.82,Mastercard,In-store,2022-04-22,1890290820,6167112631
379,854.74,American Express,In-store,2022-08-20,8037214582,5370477253
380,649.72,Visa,Online,2022-11-10,3489495796,4797955186
381,62.01,Discover,In-store,2022-04-08,8954222352,8557945884
382,705.62,Visa,In-store,2022-10-31,6300546193,5127929206
383,450.08,Mastercard,In-store,2022-05-31,2493195701,8938673022
384,399.94,Visa,In-store,2022-07-01,7610191504,8768434466
385,814.97,American Express,Online,2022-05-18,4103045231,4116778008
386,548.3,Visa,In-store,2022-12-23,1318120883,7807392403
387,255.55,Visa,Online,2022-12-13,5445101880,2400459117
388,980.32,Discover,Online,2022-08-20,4796108985,5177024011
389,155.01,Visa,Online,2022-05-26,7354900179,4103488860
390,192.95,Visa,In-store,2022-04-26,5747874886,5964577562
391,463.22,Mastercard,In-store,2023-01-04,4031154344,3066192953
392,144.27,Visa,Online,2022-09-24,2649634993,9237433561
393,267.32,Discover,In-store,2022-06-06,1657461516,4891213975
394,972.94,Mastercard,In-store,2022-03-24,5585666738,7327338012
395,813.42,Discover,Online,2022-07-19,4220051652,3545908216
396,761.33,Mastercard,In-store,2022-08-20,6450165989,8600577249
397,514.91,Discover,Online,2022-04-19,7736717762,1338588598
398,914.67,Mastercard,Online,2022-12-05,9457103304,3941243841
399,66.03,American Express,Online,2023-03-11,6872687769,3242774100
400,792.23,Visa,In-store,2022-03-27,2156147992,7116774890
401,635.79,Discover,In-store,2022-10-17,6181470385,7640765196
402,435.1,Visa,In-store,2023-01-01,6913328134,4002817051
403,658.23,Discover,Online,2022-10-18,7960119591,7064689649
404,392.64,American Express,In-store,2022-06-11,7579939692,7375434273
405,413.08,Mastercard,In-store,2023-02-03,9040169348,4606854777
406,266.96,American Express,Online,2023-03-01,5042454588,2980979407
407,310.94,Visa,Online,2022-10-17,1127719953,5347181327
408,289.68,Visa,Online,2022-05-31,7668799960,4938836995
409,791.7,American Express,In-store,2022-09-07,1880332666,5447406149
410,594.89,Visa,Online,2022-05-08,1197931278,4707472476
411,912.06,Visa,In-store,2022-11-26,1145008016,4196365389
412,538.81,Mastercard,In-store,2022-10-19,8857887165,5215017162
413,579.3,Mastercard,Online,2023-03-02,5711310017,3108447349
414,848.88,Mastercard,In-store,2022-08-06,8938269475,2873689039
415,281.95,American Express,In-store,2022-04-29,6323723656,7192528570
416,372.78,Discover,In-store,2023-03-11,9699785469,4073931367
417,443.34,Visa,Online,2023-02-24,7277151342,7721071943
418,110.75,American Express,Online,2022-08-15,8661223849,4009727602
419,225.8,Visa,Online,2023-02-23,8065919882,7619418231
420,516.32,American Express,In-store,2023-01-03,8920195257,8092652537
421,320.06,Visa,Online,2023-02-22,8239556642,2173459267
422,125.04,Discover,In-store,2022-09-27,9240095807,6716978866
423,698.47,Discover,Online,2022-04-12,6380779938,2589832983
424,180.52,American Express,In-store,2022-12-07,6257627443,9049604345
425,448.93,Visa,Online,2022-04-01,2933111953,5315816542
426,359.31,Discover,Online,2022-11-19,6053887172,8269843006
427,696.02,Visa,In-store,2023-03-10,2976106704,1860259936
428,169.21,Visa,Online,2022-11-20,1867385026,3364596556
429,318.2,American Express,In-store,2023-01-20,6259602040,2043755561
430,177.56,Discover,Online,2022-08-15,8762964672,4614710931
431,65.11,Discover,In-store,2022-05-13,4600693632,5175976832
432,76.3,Discover,In-store,2022-11-16,2818502920,1997586893
433,240.57,Discover,In-store,2023-01-26,8929713639,8743857047
434,811.27,Mastercard,Online,2022-07-26,1188128002,9059056945
435,229.53,American Express,In-store,2022-07-10,3647879253,2283508346
436,857.61,Visa,Online,2022-11-17,1135585349,3119886302
437,918.85,Visa,In-store,2023-01-11,1279580316,1555922514
438,139.56,Mastercard,In-store,2022-05-22,9102593063,2594326335
439,534.38,Visa,In-store,2022-08-27,6970709186,3478541782
440,488.47,Mastercard,In-store,2022-06-19,3336241133,8246298133
441,988.75,Visa,Online,2022-09-10,8099765856,9104698790
442,881.31,Visa,In-store,2022-12-22,2659551983,3879486953
443,545.73,Mastercard,Online,2022-06-01,9518096981,8782992682
444,644.55,Discover,Online,2022-08-17,8285922439,5675763875
445,679.04,Discover,In-store,2022-04-03,4813498492,9258280668
446,94.52,Discover,In-store,2022-04-05,2474623083,7148455502
447,115.49,Discover,In-store,2022-08-28,3405298174,3427554455
448,217.05,Discover,In-store,2022-07-14,3147776573,8729330399
